name,address_1,address_2,city,county,postal_code,address_notes,phone,email,capabilities
CampusFab Universit� Toulouse 3 - Toulouse - Midi-Pyr�n�es - France,118 route de Narbonne,b�timent U4,toulouse,,31062,,,fablab@univ-tlse3.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
Carrefour Num�rique�,30 Avenue Corentin Cariou,,Paris,,75019,Level -1,,carrefour-numerique@universcience.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Chantier Libre,Place de la Gare,L'H�pital sur Rhins,Saint-Cyr-de-Favi�res,,42123,,06 74 98 91 09,contact@chantierlibre.org,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
CimeLab,2 Avenue du G�n�ral BARBOT,ALTIPOLIS,BRIANCON,Hautes-Alpes,5100,Atelier N�2,+33 (0)4.92.24.27.20,fablab@ccbrianconnais.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
Createch,,,,,,,532096762,createch@mjcstj31.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'vinyl_cutting']"
D'Clic Lab,10 Rue Arthur Robert,1er �tage,Manosque,,4100,1er �tage,492726709,d.cliclab@debrouillonet.org,"['three_d_printing', 'laser', 'vinyl_cutting']"
Dakahlia fablab,  ????/????? /?????? ????????/???,,????,???,,,,abdelmaboud2a@gmail.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
DeVinci Fablab,12 Avenue L�onard de Vinci,,Courbevoie,,92400,Contact us on Facebook or on our website for more information. ,+33 1 41 16 70 00,devinci.fablab@gmail.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
ECEmakers,37 Quai de Grenelle,Immeuble Pollux,Paris,Ile de France,75015,,33144390600,buruian@ece.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Ecloserie Num�rique,La Clairi�re,,Boitron,,61500,,,ecloserie@ecloserie-numerique.com,"['three_d_printing', 'laser', 'vinyl_cutting']"
ElobourFabLab,El Obour City,,El Obour City,Qalubia,13752,elobour,1003848669,gad.elhebry@stemkalubya.moe.edu.eg,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
F@bRiquet,10 Avenue de l'Europe,Atelier 17-18,Ramonville-Saint-Agne,Occitanie,31520,,05 61 73 10 22,fabmanager@fabriquet.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
FAB LAB Ch�teau Thierry,53 rue Paul Doucet,,Ch�teau-Thierry,Picardie,2400,Office : 53 rue Paul Doucet 02400 Chateau Thierry,769385675,fablabct02@gmail.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
FABLAB UPSACLAY ,Digiteo Labs Moulon / B�timent 660,1 rue ren� Thom,Gif-sur-Yvette,,91190,Ask about the fablab when you ring at the door.,33695303826,fablabdigiscope@universite-paris-saclay.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
FANLAB,Mail Jean Pierre Timbaud,,Rosny-sous-Bois,France,93110,,01 48 54 90 54,fan@rosnysousbois.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
Fab Lab - La Casemate,CCSTI Grenoble - La Casemate, 2 place Saint Laurent,Grenoble,Rhone-Alpes,38000,Go up the stairs outside building and through the big rusty door,+33 (0)4 76 44 88 69,accueil@lacasemate.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
Fab Lab AUC,"South Teseen, AUC",School of Science and Engineering,New Cairo,Cairo,,,201113188363,fablab@aucegypt.edu,"['three_d_printing', 'laser', 'precision_milling']"
Fab Lab Beni Suef STEM School,???? ?????? ??? ????? ?????? ??? ????,,Beni Suef,Beni Suef,,,1100228893,hosam_ek_eg@yahoo.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Fab Lab Egypt,Villa 35 - 100 St. - Near Al Horia Square,Maadi,Cairo,Cairo,,,201017465650,fablabegypt@san3atech.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Fab Lab Elobour,El Obour City,,El Obour City,Qalubia,13752,,1003848669,gad.elhebry@stemkalubya.moe.edu.eg,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Fab Lab Fayoum,"	????? ?????? ????? ? ???? ???? ??????? ? ??? ?????? ????? ?????, Faiyum",,Fayoum,Fayoum,63512,,842184339,fablab.fayoum@gizasystems.com,"['three_d_printing', 'circuit_production', 'laser']"
Fab Lab Minya,44 Ragheb Street,44 Ragheb Street,Minya,Egypt,61512,,1099906211,fablabminya@gmail.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling']"
Fab Lab Sud31-Val d'Ari�ge,10 rue de la R�publique,,Cintegabelle,,31550,,,contact@fablab-sud31.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
Fab Lab in New Cairo (FLiNC),"Plot No. 176, Second Sector, 5th District, off El-Teseen st","Beside Dusit Thani Hotel, Giza Systems Building",Cairo,Egypt,11477,"In front of Copper Melt, Ground floor inside Giza systems building.",201092111434,fablab@gizasystems.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Fab'lab l'Atelier,145 Grande Rue de la R�sistance,,Bar-sur-Seine,,10110,,325292180,contact@fablab-atelier.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
FabLab BEN,13 Rue Calixte CAMELLE,,BEGLES,Nouvelle Aquitaine,33130,,556759747,bonjour@bordeaux-ecole-numerique.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
FabLab By Pop Place Valenciennes,Parc des Rives Cr�atives de l'Escaut - B�timent La Nouvelle Forge,80 Avenue Roland Moreno  ,Anzin,,59410,"Ancien b�timent accueillant le GRETA, au rez de chauss�e � gauche",374010592,popplaceval@pop.eu.com,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
FabLab Lapalisse, 26 rue Winston Churchill ,,Lapalisse,Allier,3120,,4742500009700,ludo.fablab.lappalisse@gmail.com,[]
FabLab Maadi STEM School,Maadi,,,,,,221224569861,dr.ade.salah@stemmaadi.moe.edu.eg,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
FabLab PPR,102 Route des Trois Villages,,Saint-Hilaire,,38660,"Syndicat d'Inititive
Local dans le Pr�fabriqu� de l'�cole Primaire des Gaudes.",+33 7 83 71 24 50,fablab.ppr@gmx.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'precision_milling']"
FabLab Stem School Assuit,?????,???????? ???????,???????,?????,201010382782,good nice place,201010382782,s.hofney@stemassiut.moe.edu.eg,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
FabLab de Carmaux,�cole de Fontgrande,P�le Culturel Art?Air,ST BENOIT DE CARMAUX,,81400,,07 62 29 94 80,contact@fablab-carmaux.fr,"['three_d_printing', 'cnc_milling', 'laser']"
FabLab de N�mes,69 Rue Georges Besse,,N�mes,,30000,The FabLab is located inside EERIE building,+33 9 80 56 14 08,contact@lefablab.fr,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
FabLab du D�me � Caen,3 Esplanade St�phane Hessel,Le D�me,Caen,Normandie,14000,Le FabLab est situ� au niveau R2.,261451935,fablab@ledome.info,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
FabLab du Grand Figeac,Campus de Nayrac,Avenue de Nayrac,Figeac,,46100,Le FabLab occupe tout le rez-de-chauss�e du b�timent recherche et innovation.,962654732,fablabfigeac@gmail.com,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
FabLab du Sud Touraine,3 rue de Corbery,,Loches,,37600,,33764075599,fablab@sudtourainenumerique.fr,"['three_d_printing', 'laser', 'vinyl_cutting']"
FabLab on wheels,Cairo," Giza Systems Plot 176, Second Sector S Teseen Cairo Governorate 11841 Egypt",Cairo,Cairo,11841,,,fablabonwheels@gizasystems.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
FabLabLuxor,Luxor,,Luxor,,,,,peter.samir@gmail.moe.edu.eg,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
FabLab_du_Rocher,230 Rue du Faubourg Saint-Honor�,,Paris,,75008,,33180984657,fablab@coursdurocher.fr,"['three_d_printing', 'laser', 'vinyl_cutting']"
FabLac,2 Rue de la Tiolettaz,,Anthy-sur-L�man,,74200,,33652749352,fablac@fablac.fr,"['three_d_printing', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Fablab Beni Suef,???? ??? ?????? ???? ??? ???? ?????? ??? ?????????? ????? ??????,,Beni Suef,Egypt,,Go to McDonald's  then up to fifth floor,1030734666,fablab.benisuef@gizasystems.com,"['three_d_printing', 'laser']"
Fablab Descartes,2 bis Rue Alfred Nobel,Maison de l'Entreprise Innovante,Champs-sur-Marne,,77420,,160052769,fablab@descartes-devinnov.com,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
Fablab La Gloire,3 Rue Jean Ma�lh�,,Toulouse,Occitanie,31500,,05 61 58 24 63,fablab@associationapsar.org,"['three_d_printing', 'circuit_production']"
Fablab Lannion - KerNEL,6 rue du 73�me territorial,,Lannion,Brittany,22300,,+33 2 96 37 84 46,contact@fablab-lannion.org,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Fablab Les Usines,La Filature,,Ligug�,,86240,,688843412,fablab@lesusines.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Fablab Moebius,8 rue Th�odore Rousseau,,Barbizon,,77630,,33618998509,contact@fablab-moebius.org,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'vinyl_cutting']"
Fablab M�dialab Pays du Clermontois,59 rue Wenceslas Coutellier,,Clermont de l'Oise,France,60600,au centre Socioculturel de Clermont.,03.44.78.12.32,calnumerique-fablab@leolagrange.org,"['three_d_printing', 'vinyl_cutting']"
Fablab Tiers lieu de Carpentras,136 Rue du vieil hopital,,Carpentras,,84200,,485880322,contact@letierslieudecarpentras.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Fablab Vichy Communaut�,37 Avenue de Gramont,,Vichy,Allier,3200,,667504434,fablab@vichy-communaute.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Fablab des 3 Lapins,2 Rue Lac�p�de,,Luxeuil-les-Bains,Bourgogne Franche Comt�,70300,,33769801948,bureau@fablab3lapins.org,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
Fablab des Fabriques,10 Rue Pablo Picasso,,Besan�on,,25000,,33381878580,fablab@grandbesancon.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
Fablab du Chalonnais,"141, Avenue Boucicaut","dans les ateliers, 2�me porte � gauche",Chalon-sur-Sa�ne,,71100,"Avancez dans les ateliers, 2�me porte � gauche pour nous trouver",+33 (0)385979600 poste 540,fablab.chalon@gmail.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Fablab du Grand Narbonne,30 avenue pompidor,,Narbonne,,11100,"Le Fablab se situe au rez de chauss�e du b�timent IN'ESS.
2 entr�es : Acc�s via l'entr�e du restaurant c�t� avenue pompidor ou par l'arri�re du Fablab par l'entr�e parking rue du Verdouble en face de la Poste. ",411232200,l.bullich@legrandnarbonne.com,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
Fablab du pays de Lorient,4 Rue Galil�e,Espace TEKNICA,Ploemeur,,56270,,+33 2 97 37 83 00,contact@fablab-lorient.bzh,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser']"
FablabSU,Sorbonne University,4 place Jussieu,Paris,France,75005,"B�timent Esclangon, niveau Jussieu",+33 01 44 27 53 09,fablab@sorbonne-universite.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Fablafayette,"3, rue Traversi�re",,Mantes la Jolie,Ile de France,78200,Club ouvert le dimache matin,608989323,gilbert.cordiez@orange.fr,"['three_d_printing', 'cnc_milling']"
Fabric'INSA,135 Avenue de Rangueil,,Toulouse,,31400,INSA Toulouse - B�timent STPI,33629249348,contact@fabric-insa.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser']"
Fabrique d'Objets Libres,36 Boulevard Edouard Herriot,,Saint-Priest,Rh�ne,69800,Nous sommes devant la mairie de St Priest,+33 7 68 01 40 26 (Mon-Wed ),contact@fabriquedobjetslibres.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'vinyl_cutting']"
FacLab,Avenue Marcel Paul,All�e des Pierres Mayettes,Gennevilliers,?le-de-France,92230,"Enter the University main building, then the corridor in front of you, then turn into the first corridor to your left.",,contact@faclab.org,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
FougeresLab,2 Esplanade Chaussonni�res,,Foug�res,,35300,,299991056,fablab@pays-fougeres.org,"['three_d_printing', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
FunLab,170 Quai Auguste Salesse,,Saint-C�r�,,46400,,565108333,maison-jeunesculture@orange.fr,"['three_d_printing', 'cnc_milling', 'vinyl_cutting']"
FunLab Tours,"49, boulevard Preuilly",,Tours,,37000,"Nous sommes occupants de site MAME ""cit� de la cr�ation et du num�rique""",33784668947,asso@lafun.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
G-LAB,"4, place de la Cath�drale Espace Nomino�",,DOL DE BRETAGNE,,35120,"4, place de la Cath�drale Espace Nomino� Premier �tage.",601785294,g-lab@pcilog.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Gharbiya Fab Lab,"Kafr Abou Dawoud, Tanta, Gharbia Governorate, Egypt",,tanta - algharbiya - egypt,Gharbiya,31511,algalaa - mogamaa almadares,201228225357,a.alshazly@stemgharbiya.moe.edu.eg,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
GraouLab,IUT Metz,"?le du Saulcy, Metz, France",Metz,,57000,Go on to opposite of the entrance of the IUT GMP. There you'll find panel with our logo.,,contact@graoulab.org,"['three_d_printing', 'cnc_milling', 'laser']"
HOMEMAKERS,35 Rue des Favorites,,Paris,,75015,,33615266114,contact@homemakers.fr,"['three_d_printing', 'laser', 'vinyl_cutting']"
Hall32,32 Rue du Clos Four,,Clermont-Ferrand,,63100,,04 15 81 00 35,pole-industrie@hall32.fr,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling']"
Humanlab Saint-Pierre,3 Rue Ginies Mares,,Palavas-les-Flots,,34250,,+339 87 78 09 12,sijobert.b@institut-st-pierre.fr,"['three_d_printing', 'laser', 'precision_milling']"
ICI Marseille,77 rue de Lyon,,Marseille,Bouches du Rh�ne,13015,,682166307,icimarseille@makeici.org,"['three_d_printing', 'cnc_milling', 'laser']"
ICI Nantes,24 Rue de la Mitrie,,Nantes,,44000,24 Rue de la Mitrie,07 49 57 05 71,icinantes@makeici.org,"['three_d_printing', 'cnc_milling', 'laser']"
ICI Thecamp,Aix la Duranne,550 rue Denis Papin,Aix-en-Provence,,13100,,682166307,fablab@thecamp.fr,"['three_d_printing', 'circuit_production', 'laser']"
ISTIALAB,62 Avenue Notre Dame du Lac,Ecole d'ing�nieur ISTIA,Angers,,49000,,244687500,fabmanager.istia@univ-angers.fr,"['three_d_printing', 'circuit_production', 'precision_milling']"
IZYlab,25 avenue Robert Wagner,,V�lizy-Villacoublay,,78140,L?entr�e est commune avec la ressourcerie situ�e au rez-de-chauss�e ,980831919,contact@izylab.org,"['three_d_printing', 'cnc_milling', 'vinyl_cutting']"
IdeationLab,Annecy,"7, Chemin des Berges",Annecy,Haute-Savoie,74960,"Juste l'addresse postale pour l'instant, le Fablab est mobile et sur le web a cause du Covid19",33673874008,dubois.jchristophe@gmail.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling']"
Info@Leze,2 cours des ravelins,,Lagardelle-sur-L�ze,,31870,"Ouvert tous les Vendredi de la p�riode Scolaire � partir de 20h30, ou sur demande.",00 00 00 00 00,infoaleze@gmail.com,"['three_d_printing', 'circuit_production', 'laser', 'vinyl_cutting']"
Konk Ar Lab,2 Rue des Charmes,Dans l'enceinte de l'�cole primaire,Concarneau,Bretagne,29900,,256100304,contact@konkarlab.bzh,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
L'ETABLI,Pole Associatif R�sano-Lap�gue,18 rue de Moscou,Soustons,Aquitaine/Landes,40140,2�me �tage du p�le associatif.,+33558412366 - +33637 20 21 53,contact@letabli.net mathias@letabli.net,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
LABSud Montpellier,Hotel d'Entreprise de l'Agglomeration de Montpelllier,120 All�e John Napier,Montpellier,,34000,Big parking. After 7pm or during the week end gate is closed for security reasons. Just have to phone to make it open or use the Mobile App developped form Membrers.,+33(0)9 84 31 82 08,contact@labsud.org,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
LH3D Fab Lab,11 quai Frissard,ISEL,Le havre,Normandie,76600,,602360075,contact@lh3d.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
LUDyLAB,2 Rue du Bocage,,Chanverrie,,85500,,02 51 63 94 90,association@ludylab.fr,"['three_d_printing', 'vinyl_cutting']"
La Bonne Fabrique,place de l'�glise,,Le Sappey-en-Chartreuse,,38700,,476437315,atelier@labonnefabrique.fr,"['three_d_printing', 'cnc_milling', 'laser']"
La Fab'Brique - B�arn des Gaves,Module3@LaStation,D23,Sauveterre-de-B�arn,Pyr�n�es-Atlantiques,64390,,,contact@lafabbrique.org,"['three_d_printing', 'cnc_milling', 'precision_milling']"
La Fabrique Amanlis,1 Rue Jacques de Corbi�re,,AMANLIS,,35150,,784001571,lafabrique@rafcom.bzh,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
La Fabrique Caylus,Caylus,6 bis rue du long,Caylus,,82160,,33563281036,fablab@cc-qrga.fr,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
La Fabrique Janz�,2 Rue Louis Amoureux,,Janz�,,35150,Au sein de La Canop�e,784001571,lafabrique@rafcom.bzh,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
La Fabritech,P�leyrieux ,400 route d'Aric industrie,Le Cheylard,,7160,,09 70 65 01 17,bonjour@la-fabritech.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
La Filature 2.0 - Fablab de la Filature,20b Rue Paul Strauss,Cellule 2,Ronchamp,Haute Sa�ne,70250,A l?int�rieur de la cour des artisans,03 39 21 21 42,contact@lafilaturederonchamp.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
La Machinerie,1B rue de la vall�e,,Amiens,Somme,80000,,33966851851,contact@lamachinerie.org,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
La Palanqu�e,3 bis rue Gabriel Peri,,S�te,H�rault,34200,,+33 0469966040,fablab@lapalanquee.org,"['three_d_printing', 'circuit_production', 'laser', 'vinyl_cutting']"
La fabrik,04 rue de l'�glise,,Orgelet,,39270,,384854791,lafabrik@adapemont.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
Lab Gare Numerique,41 Rue Porte de Monteux,,Carpentras,,84200,"Nous sommes situ� dans une friche, un ancien restaurant, juste � c�t� du chateau d'Urbesson",770205025,contact@garenumerique.fr,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'vinyl_cutting']"
Lab' du Pensio,1 rue du Pensionnat Notre Dame de France,,Le Puy en Velay,Auvergne Rhone Alpes,43000,Le FabLab de l?Universit� Clermont Auvergne  du Puy est unique en r�gion Auvergne - Rhones Alpes car il propose les toutes derni�res technologies de la fabrication num�rique et de la r�alit� virtuelle. ,04 71 06 66 24 - 04 71 09 90 85,fablab43@udamail.fr,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
Lab86,86 avenue Philippe Auguste,,Paris,IDF,75011,"It is written ""Espace associatif"" on the front.",33951587550,lab86@ageca.org,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
LabBriq Sociale,23 Rue Navoiseau,,Montreuil,Seine Saint Denis,93100,"open fab are the friday, rest of the time we have youngs for training ""maker"" education",967189436,vivien@co-dev.org,"['three_d_printing', 'laser', 'vinyl_cutting']"
LabFab de Rennes,34 Rue Hoche,,Rennes,Brittany,35000,,,,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
Laminiak,10 Rue de la Petite Pierre,,Paris,,75011,,33 3+6 83 03 45 19,contact@les-laminiak.com,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser', 'precision_milling', 'vinyl_cutting']"
Le Boc@l - Bricole Locale,5 Rue de la Gabardi�re,,Chemill�-en-Anjou,,49120,Faire le tour du parking sur les mains et entrer :),241305055,lebocal@centresocial-chemille.asso.fr,"['three_d_printing', 'cnc_milling', 'laser', 'precision_milling', 'vinyl_cutting']"
Le B�ta-Lab,Melle,5 rue du Bourgneuf,Melle,,79500,,09 54 77 69 15,betalab@labetapi.fr,"['three_d_printing', 'laser', 'vinyl_cutting']"
Le Fabuleux Laboratoire,1 rue henri poincar�,,M�ru,picardie,60110,,344523490,fablab.meru@gmail.com,"['three_d_printing', 'vinyl_cutting']"
Le Lab',4 all�e des brotteaux,maison de la culture et de la citoyennet�,Bourg en Bresse,ain,1000,,970721765,lelab@altecsciences.fr,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
Le Labo-Motive,Saint-Maur,10 rue de La gare,Saint-Maur,Indre,36250,,,contact@lelabomotive.org,"['three_d_printing', 'cnc_milling', 'circuit_production', 'laser']"
Le Nautilus / MicroFolie,4 rue du detroit,Espace du D�troit,Boulogne-sur-Mer,,62200,,321301686,accueilcentresocial@ville-boulogne-sur-mer.fr,"['three_d_printing', 'laser', 'vinyl_cutting']"
Le Prototype - EleFab,57 Fbg Montm�lian,,Chamb�ry,Savoie,73000,,33634539788,fablab@simplix.fr,"['three_d_printing', 'cnc_milling', 'laser']"
Le_Mazier,19 rue de la r�publique,,Bourbon L'archambault,Auvergne,3160,,659041182,contact.lemazier@gmail.com,"['three_d_printing', 'cnc_milling', 'laser', 'vinyl_cutting']"
